"sample_date","sample_time","analysis_completed","sample_id","site_id","sample_temp_c","enterococci_cfu_per_100ml","filename","lab_code"
"2025-06-02",NULL,"2025-06-04","FB001","XCN12","2.6","ND","Infinity Environmental AD.152(FB).pdf","WLAB"
"2025-05-06",NULL,NULL,"FB001","CN11",NULL,"<1","coastal ad hocs 2025-05-06","SSVC"
"2025-05-05",NULL,NULL,"FB001","XCN12",NULL,"<1","coastal ad hocs 2025-05-05","SSVC"
"2025-05-05",NULL,NULL,"LB001","XCN12",NULL,"<1","coastal ad hocs 2025-05-05","SSVC"
"2025-06-03",NULL,NULL,"FB001","CN11",NULL,"<1","Camps bay adhocs 2025-06-03","SSVC"
"2025-05-13",NULL,NULL,"FB001","XCN03",NULL,"24","Coastal adhocs 2025-05-13","SSVC"
"2025-06-02",NULL,NULL,"FB001","XCN12","5.9","ND","M0716.pdf","SABS"
"2025-06-02",NULL,NULL,"LB001","XCN12","5.8","ND","M0716.pdf","SABS"
"2025-05-13","10:35:00",NULL,"FB001","XCN03","6.1","ND","M0633.pdf","SABS"
"2025-05-06",NULL,NULL,"FB001","CN11","6","ND","M0608.pdf","SABS"
"2025-05-05","10:48:00",NULL,"FB001","XCN12","5.1","ND","M0602.pdf","SABS"
"2025-06-02","10:00:00","2025-06-04","XCN12B","XCN12","2.6","7","Infinity Environmental AD.152(FB).pdf","WLAB"
"2025-06-02","10:00:00","2025-06-04","XCN12C","XCN12","2.6","6","Infinity Environmental AD.152(FB).pdf","WLAB"
"2025-06-10","09:51:00","2025-06-12","XCN03G","XCN03","3.1","3","Infinity Environmental AD.161(FB).pdf","WLAB"
"2025-06-10","09:51:00","2025-06-12","XCN03H","XCN03","3.1","ND","Infinity Environmental AD.161(FB).pdf","WLAB"
"2025-06-10","09:51:00","2025-06-12","XCN03I","XCN03","3.1","5","Infinity Environmental AD.161(FB).pdf","WLAB"
"2025-06-03","10:30:00","2025-06-05","CN11G","CN11","2.8","195","Infinity Environmental AD.154(FB).pdf","WLAB"
"2025-06-03","10:30:00","2025-06-05","CN11H","CN11","2.8","155","Infinity Environmental AD.154(FB).pdf","WLAB"
"2025-06-03","10:30:00","2025-06-05","CN11I","CN11","2.8","181","Infinity Environmental AD.154(FB).pdf","WLAB"
"2025-06-30","10:09:00","2025-07-02","XCN12G","XCN12","4.1","6","Infinity Environmental AD.176(FB).pdf","WLAB"
