"site_order","site_description","site_id","category","coastline","long","lat","active","site_id-2","sample_date","sample_time","analysis_completed","sample_temp_c","censored_value","numeric_value","filename","lab_code","monitoring_group"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-12","09:40:00","2025-06-14","1.2","13","13","Infinity Environmental AD.164.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-12","09:18:00","2025-06-14","1.2","27","27","Infinity Environmental AD.164.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-12","09:10:00","2025-06-14","1.2","25","25","Infinity Environmental AD.164.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-12","09:02:00","2025-06-14","5.8","54","54","Oelofse G.104.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-12","08:50:00","2025-06-14","5.8","42","42","Oelofse G.104.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-11","09:47:00","2025-06-13","4.2","66","66","Oelofse G.103.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-11","09:38:00","2025-06-13","4.2","55","55","Oelofse G.103.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-11","09:14:00","2025-06-13","1.4","2","2","Infinity Environmental AD.163.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-11","09:07:00","2025-06-13","1.4","8","8","Infinity Environmental AD.163.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-11","09:03:00","2025-06-13","1.4","6","6","Infinity Environmental AD.163.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-10","11:36:00","2025-06-12","3.1","59","59","Infinity Environmental AD.162.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-10","11:26:00","2025-06-12","3.1","ND","0","Infinity Environmental AD.162.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-10","11:22:00","2025-06-12","3.1","60","60","Infinity Environmental AD.162.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-10","09:15:00","2025-06-12","4.1","104","104","Oelofse G.102.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-10","09:06:00","2025-06-12","4.1","109","109","Oelofse G.102.pdf","WLAB","daily"
"68","Strand Lifesaving Club","XCS26","Recreational Node","False Bay","18.81753333","-34.10616667","True","XCS26","2025-06-09","10:14:00","2025-06-11","5.5","214","214","Oelofse G.101.pdf","WLAB","daily"
"67","Strand Pipe Surfing","XCS34","Recreational Node","False Bay","18.81328622","-34.10333837","True","XCS34","2025-06-09","10:05:00","2025-06-11","5.5","180","180","Oelofse G.101.pdf","WLAB","daily"
"22","Glen Beach","CN31","Recreational Node","Atlantic","18.377192","-33.947056","True","CN31","2025-06-09","09:05:00","2025-06-11","2.2","37","37","Infinity Environmental AD.160.pdf","WLAB","daily"
"24","Camps Bay Central","CN41","Recreational Node","Atlantic","18.37711225","-33.95092422","True","CN41","2025-06-09","08:50:00","2025-06-11","2.2","21","21","Infinity Environmental AD.160.pdf","WLAB","daily"
"25","Camps Bay South","CN11","Recreational Node","Atlantic","18.37566417","-33.95262556","True","CN11","2025-06-09","08:46:00","2025-06-11","2.2","20","20","Infinity Environmental AD.160.pdf","WLAB","daily"
