site,week,day,samplers
36_Barley_Bay_beach(CN14),3,tues,ssb
Beta_Beach_(CN40),3,tues,ssb
38_Bakoven_Beach_(CN21),3,tues,ssb
Cosy_Bay_(CN30),3,tues,ssb
39_Oudekraal_(XCN09),3,tues,ssb
Logies_Bay_(CN38),3,tues,ssb
40_Llandudno_(XCN03),3,tues,ssb
Hout_Bay_Mariners_Wharf_(HB13),3,tues,ssb
41_Hout_Bay_Chapmans_peak_(XCN10),3,tues,ssb
70__Ribbon_Road_Parking_Area_(CS11),3,wed,ssb
73_Strandfontein_Tidal_Pool_(CS17),3,wed,ssb
_9_Miles_Strandfontein_Beach_(CS45),3,wed,ssb
74__Mitchells_Plain_WWED_(CS18),3,wed,ssb
Blue_Waters_resort_(CS46),3,wed,ssb
75__Lukanon_Drive_nr_WW_Pump_Station_(CS14),3,wed,ssb
76__MPSWD_West_(CS23W),3,wed,ssb
77__MPSWD_East_(CS23E),3,wed,ssb
80_Mnandi_Beach_West_of_Lifesaving_Tower_(CS15),3,wed,ssb
81_Mnandi_Beach_East_of_Lifesaving_Box_69_(CS19),3,wed,ssb
82_Monwabisi_Tidal_Pool_(XCS18),3,wed,ssb
83_Monwabisi_Beach_(XCS30),3,wed,ssb
84_Macassar_Beach_(XCS19),3,wed,cmb
Strand_Pipe_surfing_(XCS34),3,wed,cmb
87_Strand-Water_slide_on_Beach_Rd_(CS32),3,wed,cmb
88_Strand_opp_Springbok_Cafe_(XCS27),3,wed,cmb
89__Strand_lifesaving_club_opposite_Woltemade_Street_(XCS26),3,wed,cmb
90_Strand-Beach_Rd_pedestrian_crossing_btw_Melkbaai_and_Da_gama_St._(CS31),3,wed,cmb
92_Strand_Harmonie_Park_Jetty_(XCS29),3,wed,cmb
96_Gordons_Bay_Van_Riebeeck_Hotel_(XCS05),3,wed,cmb
98_Gordons_Bay_Beach_opposite Sir_Lowry_road_(XCS04),3,wed,cmb
99_Gordons_Bay_Bikini_Beach_(XCS08),3,wed,cmb
100_Gordons_Bay_opposite_130_Beach_road_(CS29),3,wed,cmb
101_Kogel_Bay_Beach_(XCS09),3,wed,cmb
Noordhoek_beach_north_(CS40),3,thurs,ssb
43_The_Kom_(XCN01),3,thurs,ssb
Inner_Kom_Nerina_avenue_(CS39),3,thurs,ssb
44_Long_Beach_Kommetjie_(XCN02),3,thurs,ssb
45_Scarborough_Beach_(XCN11),3,thurs,ssb
46__Millers_Point_resort_(XCS11),3,thurs,ssb
Millers_Point_tidal_pool_(CS37),3,thurs,ssb
47_Fishermans_Beach_(XCS12),3,thurs,ssb
Windmill_beach_(CS36),3,thurs,ssb
48_Seaforth_Beach_(XCS13),3,thurs,ssb
49_Boulders_Beach_(XCS32),3,thurs,ssb
52__Simons__Town_Long_Beach_(XCS14),3,thurs,ssb
Glencairn_tidal_pool_(CS38),3,thurs,ssb
53_Glencairn_Beach_(XCS15),3,thurs,ssb
54_Clovelly_Beach_Silvermine_mouth_(XCS17),3,thurs,ssb
Fish_Hoek_beach_lifesaving_club_(CS41),3,thurs,ssb
"56_Fish_Hoek-Corner_of_the_Beach,_at_Jager_Walk_(CS35)",3,thurs,ssb
Woolleys_tidal_pool_(CS42),3,fri,ssb
58__Kalk_Bay_Harbour_Beach_(CS01A),3,fri,ssb
59_Kalk_Bay_Tidal_Pool_Inside_(CS02),3,fri,ssb
60_Dalebrook_Tidal_Pool_(CS03),3,fri,ssb
Dangers_beach_(CS44),3,fri,ssb
61_St_James_Tidal_Pool_(CS04),3,fri,ssb
63_Muizenberg_Pavilion_(CS16),3,fri,ssb
64_Muizenberg_Surfers_Corner_(CS34),3,fri,ssb
66_Sunrise_Beach_Parking_Area_(CS07),3,fri,ssb
1_Silverstroomstrand_Tidal_Pool_(XCN08),4,mon,ssb
2_Silverstroomstrand_lifeguard_building_(XCN14),4,mon,ssb
3_Melkbosstrand_10th_street_(XCN07),4,mon,ssb
4_Blouberg_Big_Bay_lifeguard_building_(XCN12),4,mon,ssb
Small_Bay_Beach_off_Popham_Street_Blouberg_(CN37),4,mon,ssb
7_Tableview_Athens_road_(XCN06),4,mon,ssb
8_Milnerton_Lighthouse_(XCN04),4,mon,ssb
9_Lagoon_Beach_(CN22),4,mon,ssb
12_Green_Point_Pump_Station_(CN05),4,mon,ssb
Three_Anchor_Bay_beach_(CN36),4,mon,ssb
18_Milton_Beach_Tidal_Pool_Inside_(CN18I),4,mon,ssb
22_Saunders_Rocks_Tidal_Pool_Inside_(CN16I),4,mon,ssb
23_Saunders_Rocks_Tidal_Pool_Outside_(CN16O),4,mon,ssb
24_Clifton_4th_Beach_(CN09),4,tues,ssb
25_Maidens_Cove_north_sandy_cove_(CN10),4,tues,ssb
26_Maidens_Cove_Tidal_Pool_west_Inside_(CN19I),4,tues,ssb
"30_Glen_Beach-midway_point_along_the_beach,STW_pipe_close_by_(CN31)",4,tues,ssb
32_Camps_Bay_Tidal_Pool_Inside_(CN12A),4,tues,ssb
33_Camps_Bay_Pool_Outside_(CN12O),4,tues,ssb
34_Northern_Camps_Bay-In_line_with_ablution_block_(CN30),4,tues,ssb
Camps Bay_Central_(CN41),4,tues,ssb
35_Camps_Bay_South_(CN11),4,tues,ssb
Beta_Beach_(CN40),4,tues,ssb
38_Bakoven_Beach_(CN21),4,tues,ssb
39_Oudekraal_(XCN09),4,tues,ssb
40_Llandudno_(XCN03),4,tues,ssb
Hout_Bay_Mariners_Wharf_(HB13),4,tues,ssb
41_Hout_Bay_Chapmans_peak_(XCN10),4,tues,ssb
73_Strandfontein_Tidal_Pool_(CS17),4,wed,ssb
_9_Miles_Strandfontein_Beach_(CS45),4,wed,ssb
81_Mnandi_Beach_East_of_Lifesaving_Box_69_(CS19),4,wed,ssb
82_Monwabisi_Tidal_Pool_(XCS18),4,wed,ssb
Strand_Pipe_surfing_(XCS34),4,wed,ssb
87_Strand-Water_slide_on_Beach_Rd_(CS32),4,wed,ssb
89__Strand_lifesaving_club_opposite_Woltemade_Street_(XCS26),4,wed,ssb
90_Strand-Beach_Rd_pedestrian_crossing_btw_Melkbaai_and_Da_gama_St._(CS31),4,wed,ssb
92_Strand_Harmonie_Park_Jetty_(XCS29),4,wed,ssb
96_Gordons_Bay_Van_Riebeeck_Hotel_(XCS05),4,wed,ssb
99_Gordons_Bay_Bikini_Beach_(XCS08),4,wed,ssb
100_Gordons_Bay_opposite_130_Beach_road_(CS29),4,wed,ssb
101_Kogel_Bay_Beach_(XCS09),4,wed,ssb
44_Long_Beach_Kommetjie_(XCN02),4,thurs,ssb
48_Seaforth_Beach_(XCS13),4,thurs,ssb
52__Simons__Town_Long_Beach_(XCS14),4,thurs,ssb
Glencairn_tidal_pool_(CS38),4,thurs,ssb
53_Glencairn_Beach_(XCS15),4,thurs,ssb
Fish_Hoek_beach_lifesaving_club_(CS41),4,thurs,ssb
Strand_Pipe_surfing_(XCS34),4,thurs,ssb
59_Kalk_Bay_Tidal_Pool_Inside_(CS02),4,thurs,ssb
60_Dalebrook_Tidal_Pool_(CS03),4,thurs,ssb
Dangers_beach_(CS44),4,thurs,ssb
61_St_James_Tidal_Pool_(CS04),4,thurs,ssb
63_Muizenberg_Pavilion_(CS16),4,thurs,ssb
64_Muizenberg_Surfers_Corner_(CS34),4,thurs,ssb
