site_name,sample_date,censored_value
Mnandi,2020-01-16T00:00:00Z,4
Mnandi,2020-01-23T00:00:00Z,>150
Mnandi,2020-02-05T00:00:00Z,35
Mnandi,2020-02-20T00:00:00Z,2
Mnandi,2020-03-03T00:00:00Z,5
Mnandi,2020-03-19T00:00:00Z,3
Mnandi,2020-11-26T00:00:00Z,34
Mnandi,2020-12-03T00:00:00Z,1
Mnandi,2020-12-09T00:00:00Z,63
Mnandi,2020-12-17T00:00:00Z,34
Mnandi,2021-01-07T00:00:00Z,1
Mnandi,2021-01-14T00:00:00Z,2
Mnandi,2021-01-21T00:00:00Z,45
Mnandi,2021-01-28T00:00:00Z,1
Mnandi,2021-11-23T00:00:00Z,>150
Mnandi,2021-12-02T00:00:00Z,122
Mnandi,2021-12-09T00:00:00Z,23
Mnandi,2021-12-15T00:00:00Z,11
Mnandi,2021-12-23T00:00:00Z,>150
Mnandi,2022-01-04T00:00:00Z,25
Mnandi,2022-01-11T00:00:00Z,3
Mnandi,2022-01-19T00:00:00Z,6
Mnandi,2022-01-26T00:00:00Z,1
Muizenberg,2018-11-28T00:00:00Z,10
Muizenberg,2018-12-06T00:00:00Z,8
Muizenberg,2018-12-19T00:00:00Z,5
Muizenberg,2019-01-04T00:00:00Z,3
Muizenberg,2019-01-16T00:00:00Z,6
Muizenberg,2019-01-22T00:00:00Z,2
Muizenberg,2019-11-21T00:00:00Z,1
Muizenberg,2019-12-05T00:00:00Z,10
Muizenberg,2019-12-12T00:00:00Z,1
Muizenberg,2020-01-09T00:00:00Z,1
Muizenberg,2020-01-16T00:00:00Z,3
Muizenberg,2020-01-23T00:00:00Z,79
Muizenberg,2020-02-06T00:00:00Z,2
Muizenberg,2020-02-20T00:00:00Z,1
Muizenberg,2020-03-03T00:00:00Z,1
Muizenberg,2020-03-19T00:00:00Z,1
Muizenberg,2020-11-26T00:00:00Z,1
Muizenberg,2020-12-03T00:00:00Z,80
Muizenberg,2020-12-09T00:00:00Z,3
Muizenberg,2020-12-17T00:00:00Z,13
Muizenberg,2021-01-07T00:00:00Z,1
Muizenberg,2021-01-14T00:00:00Z,12
Muizenberg,2021-01-21T00:00:00Z,2
Muizenberg,2021-01-28T00:00:00Z,1
Muizenberg,2021-02-02T00:00:00Z,127
Muizenberg,2021-02-08T00:00:00Z,>150
Muizenberg,2021-02-09T00:00:00Z,5
Muizenberg,2021-02-11T00:00:00Z,23
Muizenberg,2021-02-16T00:00:00Z,>150
Muizenberg,2021-02-23T00:00:00Z,1
Muizenberg,2021-03-02T00:00:00Z,44
Muizenberg,2021-03-16T00:00:00Z,57
Muizenberg,2021-11-23T00:00:00Z,104
Muizenberg,2021-12-02T00:00:00Z,11
Muizenberg,2021-12-09T00:00:00Z,1
Muizenberg,2021-12-15T00:00:00Z,2
Muizenberg,2021-12-23T00:00:00Z,9
Muizenberg,2022-01-05T00:00:00Z,3
Muizenberg,2022-01-11T00:00:00Z,13
Muizenberg,2022-01-19T00:00:00Z,6
Muizenberg,2022-01-26T00:00:00Z,9
Muizenberg,2022-02-02T00:00:00Z,19
Muizenberg,2022-02-16T00:00:00Z,7
Muizenberg,2022-03-03T00:00:00Z,16
Muizenberg,2022-03-15T00:00:00Z,1
Silwerstroom,2018-11-28T00:00:00Z,1
Silwerstroom,2018-12-05T00:00:00Z,1
Silwerstroom,2018-12-19T00:00:00Z,1
Silwerstroom,2019-01-03T00:00:00Z,1
Silwerstroom,2019-01-15T00:00:00Z,1
Silwerstroom,2019-01-15T00:00:00Z,1
Silwerstroom,2019-01-22T00:00:00Z,1
Silwerstroom,2019-11-20T00:00:00Z,6
Silwerstroom,2019-12-11T00:00:00Z,1
Silwerstroom,2020-01-08T00:00:00Z,1
Silwerstroom,2020-01-15T00:00:00Z,1
Silwerstroom,2020-01-22T00:00:00Z,1
Silwerstroom,2020-11-25T00:00:00Z,1
Silwerstroom,2020-12-02T00:00:00Z,1
Silwerstroom,2020-12-08T00:00:00Z,7
Silwerstroom,2020-12-15T00:00:00Z,1
Silwerstroom,2021-01-06T00:00:00Z,1
Silwerstroom,2021-01-13T00:00:00Z,1
Silwerstroom,2021-01-20T00:00:00Z,1
Silwerstroom,2021-01-27T00:00:00Z,1
Silwerstroom,2021-11-25T00:00:00Z,1
Silwerstroom,2021-12-01T00:00:00Z,1
Silwerstroom,2021-12-08T00:00:00Z,1
Silwerstroom,2021-12-14T00:00:00Z,1
Silwerstroom,2021-12-22T00:00:00Z,1
Silwerstroom,2022-01-04T00:00:00Z,9
Silwerstroom,2022-01-11T00:00:00Z,21
Silwerstroom,2022-01-20T00:00:00Z,1
Silwerstroom,2022-01-27T00:00:00Z,1
Strandfontein,2018-11-28T00:00:00Z,47
Strandfontein,2018-12-06T00:00:00Z,7
Strandfontein,2018-12-19T00:00:00Z,1
Strandfontein,2019-01-04T00:00:00Z,2
Strandfontein,2019-01-16T00:00:00Z,7
Strandfontein,2019-11-21T00:00:00Z,1
Strandfontein,2019-12-05T00:00:00Z,5
Strandfontein,2019-12-12T00:00:00Z,3
Strandfontein,2020-01-09T00:00:00Z,1
Strandfontein,2020-01-16T00:00:00Z,31
Strandfontein,2020-01-23T00:00:00Z,71
Strandfontein,2020-02-06T00:00:00Z,1
Strandfontein,2020-02-20T00:00:00Z,79
Strandfontein,2020-03-03T00:00:00Z,9
Strandfontein,2020-03-19T00:00:00Z,8
Strandfontein,2020-11-26T00:00:00Z,18
Strandfontein,2020-12-03T00:00:00Z,1
Strandfontein,2020-12-09T00:00:00Z,2
Strandfontein,2020-12-17T00:00:00Z,32
Strandfontein,2021-01-07T00:00:00Z,1
Strandfontein,2021-01-14T00:00:00Z,5
Strandfontein,2021-01-21T00:00:00Z,12
Strandfontein,2021-01-28T00:00:00Z,69
Strandfontein,2021-02-02T00:00:00Z,>150
Strandfontein,2021-02-08T00:00:00Z,18
Strandfontein,2021-02-09T00:00:00Z,16
Strandfontein,2021-02-16T00:00:00Z,91
Strandfontein,2021-02-23T00:00:00Z,1
Strandfontein,2021-03-02T00:00:00Z,22
Strandfontein,2021-03-16T00:00:00Z,15
Strandfontein,2021-11-23T00:00:00Z,3
Strandfontein,2021-12-02T00:00:00Z,>150
Strandfontein,2021-12-09T00:00:00Z,9
Strandfontein,2021-12-15T00:00:00Z,>150
Strandfontein,2021-12-23T00:00:00Z,3
Strandfontein,2022-01-05T00:00:00Z,14
Strandfontein,2022-01-11T00:00:00Z,17
Strandfontein,2022-01-19T00:00:00Z,85
Strandfontein,2022-01-26T00:00:00Z,16
Strandfontein,2022-02-02T00:00:00Z,3
Strandfontein,2022-02-16T00:00:00Z,1
Strandfontein,2022-03-03T00:00:00Z,13
Strandfontein,2022-03-15T00:00:00Z,1
Seaforth,2019-11-21T00:00:00Z,79
Seaforth,2019-12-05T00:00:00Z,23
Seaforth,2019-12-12T00:00:00Z,47
Seaforth,2020-01-09T00:00:00Z,63
Seaforth,2020-01-16T00:00:00Z,49
Seaforth,2020-01-23T00:00:00Z,48
Seaforth,2020-02-06T00:00:00Z,111
Seaforth,2020-02-20T00:00:00Z,8
Seaforth,2020-03-03T00:00:00Z,>150
Seaforth,2020-03-19T00:00:00Z,3
Seaforth,2020-11-26T00:00:00Z,>150
Seaforth,2020-12-03T00:00:00Z,21
Seaforth,2020-12-09T00:00:00Z,51
Seaforth,2020-12-17T00:00:00Z,85
Seaforth,2021-01-07T00:00:00Z,118
Seaforth,2021-01-14T00:00:00Z,120
Seaforth,2021-01-21T00:00:00Z,56
Seaforth,2021-01-28T00:00:00Z,135
Seaforth,2021-11-23T00:00:00Z,5
Seaforth,2021-12-01T00:00:00Z,>150
Seaforth,2021-12-08T00:00:00Z,24
Seaforth,2021-12-15T00:00:00Z,>150
Seaforth,2021-12-23T00:00:00Z,85
Seaforth,2022-01-05T00:00:00Z,131
Seaforth,2022-01-12T00:00:00Z,115
Seaforth,2022-01-19T00:00:00Z,58
Seaforth,2022-01-26T00:00:00Z,29
Bikini Beach,2021-11-23T00:00:00Z,5
Bikini Beach,2021-12-01T00:00:00Z,4
Bikini Beach,2021-12-08T00:00:00Z,1
Bikini Beach,2021-12-14T00:00:00Z,1
Bikini Beach,2021-12-22T00:00:00Z,1
Bikini Beach,2022-01-04T00:00:00Z,10
Bikini Beach,2022-01-11T00:00:00Z,5
Bikini Beach,2022-01-19T00:00:00Z,6
Bikini Beach,2022-01-26T00:00:00Z,1
Bikini Beach,2022-11-29T00:00:00Z,7
Bikini Beach,2022-12-07T00:00:00Z,71
Bikini Beach,2022-12-14T00:00:00Z,84
Bikini Beach,2022-12-20T00:00:00Z,3
Bikini Beach,2023-01-04T00:00:00Z,59
Bikini Beach,2023-01-10T00:00:00Z,14
Bikini Beach,2023-01-18T00:00:00Z,1
Bikini Beach,2023-01-24T00:00:00Z,>150
Bikini Beach,2023-01-27T00:00:00Z,1
Bikini Beach,2023-01-31T00:00:00Z,2
Bikini Beach,2023-11-28T00:00:00Z,7
Bikini Beach,2023-12-06T00:00:00Z,1
Bikini Beach,2023-12-13T00:00:00Z,4
Bikini Beach,2023-12-19T00:00:00Z,1
Bikini Beach,2024-01-03T00:00:00Z,1
Bikini Beach,2024-01-09T00:00:00Z,1
Bikini Beach,2024-01-16T00:00:00Z,26
Bikini Beach,2024-01-23T00:00:00Z,1
Bikini Beach,2024-01-30T00:00:00Z,2
Bikini Beach,2024-11-21T00:00:00Z,1
Bikini Beach,2024-12-03T00:00:00Z,77
Bikini Beach,2024-12-19T00:00:00Z,1
