date_time,site_id,n,replicate,date,time,label
2026-06-25T05:00:00Z,XCS34,3,C,25 June,05:00:00,05:00:00C
2026-06-25T06:00:00Z,XCS26,1,A,25 June,06:00:00,06:00:00A
2026-06-25T06:00:00Z,XCS34,1,A,25 June,06:00:00,06:00:00A
2026-06-25T07:00:00Z,XCS26,1,A,25 June,07:00:00,07:00:00A
2026-06-25T07:00:00Z,XCS34,1,A,25 June,07:00:00,07:00:00A
2026-06-25T08:00:00Z,XCS26,1,A,25 June,08:00:00,08:00:00A
2026-06-25T08:00:00Z,XCS34,1,A,25 June,08:00:00,08:00:00A
2026-06-25T09:00:00Z,XCS26,1,A,25 June,09:00:00,09:00:00A
2026-06-25T09:00:00Z,XCS34,1,A,25 June,09:00:00,09:00:00A
2026-06-25T10:00:00Z,XCS26,4,A,25 June,10:00:00,10:00:00A
2026-06-25T10:00:00Z,XCS26,4,B,25 June,10:00:00,10:00:00B
2026-06-25T10:00:00Z,XCS26,4,C,25 June,10:00:00,10:00:00C
2026-06-25T10:00:00Z,XCS26,4,D,25 June,10:00:00,10:00:00D
2026-06-25T10:00:00Z,XCS34,1,A,25 June,10:00:00,10:00:00A
2026-06-25T11:00:00Z,XCS26,1,A,25 June,11:00:00,11:00:00A
2026-06-25T11:00:00Z,XCS34,4,A,25 June,11:00:00,11:00:00A
2026-06-25T11:00:00Z,XCS34,4,B,25 June,11:00:00,11:00:00B
2026-06-25T11:00:00Z,XCS34,4,C,25 June,11:00:00,11:00:00C
2026-06-25T11:00:00Z,XCS34,4,D,25 June,11:00:00,11:00:00D
2026-06-25T12:00:00Z,XCS26,1,A,25 June,12:00:00,12:00:00A
2026-06-25T12:00:00Z,XCS34,1,A,25 June,12:00:00,12:00:00A
2026-06-25T13:00:00Z,XCS26,1,A,25 June,13:00:00,13:00:00A
2026-06-25T13:00:00Z,XCS34,1,A,25 June,13:00:00,13:00:00A
2026-06-25T14:00:00Z,XCS26,1,A,25 June,14:00:00,14:00:00A
2026-06-25T14:00:00Z,XCS34,1,A,25 June,14:00:00,14:00:00A
2026-06-25T15:00:00Z,XCS26,1,A,25 June,15:00:00,15:00:00A
2026-06-25T15:00:00Z,XCS34,1,A,25 June,15:00:00,15:00:00A
2026-06-25T16:00:00Z,XCS26,3,A,25 June,16:00:00,16:00:00A
2026-06-25T16:00:00Z,XCS26,3,B,25 June,16:00:00,16:00:00B
2026-06-25T16:00:00Z,XCS26,3,C,25 June,16:00:00,16:00:00C
2026-06-25T16:00:00Z,XCS34,1,A,25 June,16:00:00,16:00:00A
2026-06-25T17:00:00Z,XCS26,1,A,25 June,17:00:00,17:00:00A
2026-06-25T17:00:00Z,XCS34,3,A,25 June,17:00:00,17:00:00A
2026-06-25T17:00:00Z,XCS34,3,B,25 June,17:00:00,17:00:00B
2026-06-25T17:00:00Z,XCS34,3,C,25 June,17:00:00,17:00:00C
2026-06-25T18:00:00Z,XCS26,1,A,25 June,18:00:00,18:00:00A
2026-06-25T18:00:00Z,XCS34,1,A,25 June,18:00:00,18:00:00A
2026-06-25T19:00:00Z,XCS26,1,A,25 June,19:00:00,19:00:00A
2026-06-25T19:00:00Z,XCS34,1,A,25 June,19:00:00,19:00:00A
2026-06-25T20:00:00Z,XCS26,1,A,25 June,20:00:00,20:00:00A
2026-06-25T20:00:00Z,XCS34,1,A,25 June,20:00:00,20:00:00A
2026-06-25T21:00:00Z,XCS26,1,A,25 June,21:00:00,21:00:00A
2026-06-25T21:00:00Z,XCS34,1,A,25 June,21:00:00,21:00:00A
2026-06-25T22:00:00Z,XCS26,4,A,25 June,22:00:00,22:00:00A
2026-06-25T22:00:00Z,XCS26,4,B,25 June,22:00:00,22:00:00B
2026-06-25T22:00:00Z,XCS26,4,C,25 June,22:00:00,22:00:00C
2026-06-25T22:00:00Z,XCS26,4,D,25 June,22:00:00,22:00:00D
2026-06-25T22:00:00Z,XCS34,1,A,25 June,22:00:00,22:00:00A
2026-06-25T23:00:00Z,XCS26,1,A,25 June,23:00:00,23:00:00A
2026-06-25T23:00:00Z,XCS34,4,A,25 June,23:00:00,23:00:00A
2026-06-25T23:00:00Z,XCS34,4,B,25 June,23:00:00,23:00:00B
2026-06-25T23:00:00Z,XCS34,4,C,25 June,23:00:00,23:00:00C
2026-06-25T23:00:00Z,XCS34,4,D,25 June,23:00:00,23:00:00D
2026-06-26T00:00:00Z,XCS26,1,A,26 June,00:00:00,00:00:00A
2026-06-26T00:00:00Z,XCS34,1,A,26 June,00:00:00,00:00:00A
2026-06-26T01:00:00Z,XCS26,1,A,26 June,01:00:00,01:00:00A
2026-06-26T01:00:00Z,XCS34,1,A,26 June,01:00:00,01:00:00A
2026-06-26T02:00:00Z,XCS26,1,A,26 June,02:00:00,02:00:00A
2026-06-26T02:00:00Z,XCS34,1,A,26 June,02:00:00,02:00:00A
2026-06-26T03:00:00Z,XCS26,1,A,26 June,03:00:00,03:00:00A
2026-06-26T03:00:00Z,XCS34,1,A,26 June,03:00:00,03:00:00A
2026-06-26T04:00:00Z,XCS26,3,A,26 June,04:00:00,04:00:00A
2026-06-26T04:00:00Z,XCS26,3,B,26 June,04:00:00,04:00:00B
2026-06-26T04:00:00Z,XCS26,3,C,26 June,04:00:00,04:00:00C
2026-06-26T04:00:00Z,XCS34,1,A,26 June,04:00:00,04:00:00A
2026-06-26T05:00:00Z,XCS26,1,A,26 June,05:00:00,05:00:00A
2026-06-26T05:00:00Z,XCS34,3,A,26 June,05:00:00,05:00:00A
2026-06-26T05:00:00Z,XCS34,3,B,26 June,05:00:00,05:00:00B
2026-06-26T05:00:00Z,XCS34,3,C,26 June,05:00:00,05:00:00C
2026-06-26T06:00:00Z,XCS26,1,A,26 June,06:00:00,06:00:00A
2026-06-26T06:00:00Z,XCS34,1,A,26 June,06:00:00,06:00:00A
2026-06-26T07:00:00Z,XCS26,1,A,26 June,07:00:00,07:00:00A
2026-06-26T07:00:00Z,XCS34,1,A,26 June,07:00:00,07:00:00A
2026-06-26T08:00:00Z,XCS26,1,A,26 June,08:00:00,08:00:00A
2026-06-26T08:00:00Z,XCS34,1,A,26 June,08:00:00,08:00:00A
2026-06-26T09:00:00Z,XCS26,1,A,26 June,09:00:00,09:00:00A
2026-06-26T09:00:00Z,XCS34,1,A,26 June,09:00:00,09:00:00A
2026-06-26T10:00:00Z,XCS26,4,A,26 June,10:00:00,10:00:00A
2026-06-26T10:00:00Z,XCS26,4,B,26 June,10:00:00,10:00:00B
2026-06-26T10:00:00Z,XCS26,4,C,26 June,10:00:00,10:00:00C
2026-06-26T10:00:00Z,XCS26,4,D,26 June,10:00:00,10:00:00D
2026-06-26T10:00:00Z,XCS34,1,A,26 June,10:00:00,10:00:00A
2026-06-26T11:00:00Z,XCS26,1,A,26 June,11:00:00,11:00:00A
2026-06-26T11:00:00Z,XCS34,4,A,26 June,11:00:00,11:00:00A
2026-06-26T11:00:00Z,XCS34,4,B,26 June,11:00:00,11:00:00B
2026-06-26T11:00:00Z,XCS34,4,C,26 June,11:00:00,11:00:00C
2026-06-26T11:00:00Z,XCS34,4,D,26 June,11:00:00,11:00:00D
2026-06-26T12:00:00Z,XCS26,1,A,26 June,12:00:00,12:00:00A
2026-06-26T12:00:00Z,XCS34,1,A,26 June,12:00:00,12:00:00A
